DISTRICT,YEAR,TOTAL IPC CRIMES
JAMUI,2007,1593
JEHANABAD,2007,1319
KATIHAR,2007,2618
KATIHAR RLY.,2007,464
KHAGARIA,2007,1724
KISHANGANJ,2007,1040
LAKHISARAI,2007,1230
MADHEPURA,2007,1456
MADHUBANI,2007,3625
MOTIHARI,2007,4333
MUNGER,2007,2037
MUZAFFARPUR,2007,5748
MUZAFFARPUR RLY.,2007,585
NALANDA,2007,3759
NAUGACHIA,2007,988
NAWADAH,2007,1803
PATNA,2007,14064
PATNA RLY.,2007,835
PURNEA,2007,2582
ROHTAS,2007,2825
SAHARSA,2007,2019
SAMASTIPUR,2007,3154
SARAN,2007,3556
SHEIKHPURA,2007,765
SHEOHAR,2007,434
SITAMARHI,2007,2665
SIWAN,2007,2412
SUPAUL,2007,1612
VAISHALI,2007,3700
ARARIA,2008,2907
ARWAL,2008,694
AURANGABAD,2008,3381
BAGAHA,2008,2439
BANKA,2008,1848
BEGUSARAI,2008,3256
BETTIAH,2008,3312
BHABHUA,2008,1763
BHAGALPUR,2008,4313
BHOJPUR,2008,3866
BUXAR,2008,1496
DARBHANGA,2008,3800
GAYA,2008,4179
GOPALGANJ,2008,2605
JAMALPUR RLY.,2008,223
JAMUI,2008,1788
JEHANABAD,2008,1524
KATIHAR,2008,2858
KATIHAR RLY.,2008,467
KHAGARIA,2008,1826
KISHANGANJ,2008,1316
LAKHISARAI,2008,1187
MADHEPURA,2008,1700
MADHUBANI,2008,5454
MOTIHARI,2008,4600
MUNGER,2008,1899
MUZAFFARPUR,2008,5678
MUZAFFARPUR RLY.,2008,609
NALANDA,2008,4215
NAUGACHIA,2008,1523
NAWADAH,2008,1747
PATNA,2008,14491
PATNA RLY.,2008,939
PURNEA,2008,2802
ROHTAS,2008,3943
SAHARSA,2008,2155
SAMASTIPUR,2008,3416
SARAN,2008,3550
SHEIKHPURA,2008,1020
SHEOHAR,2008,546
SITAMARHI,2008,3235
SIWAN,2008,2452
SUPAUL,2008,1978
VAISHALI,2008,3669
ARARIA,2009,2129
ARWAL,2009,655
AURANGABAD,2009,3113
BAGAHA,2009,1500
BANKA,2009,1820
BEGUSARAI,2009,3387
BETTIAH,2009,3202
BHABHUA,2009,1780
BHAGALPUR,2009,3240
BHOJPUR,2009,3736
BUXAR,2009,1860
DARBHANGA,2009,4261
GAYA,2009,4626
